"","easting","northing","stream_order","elevation"
"1",6157200.5,2106047.1405,3,218.949996948242
"2",6157203.5,2106044.1405,3,218.220001220703
"3",6157203.5,2106041.1405,3,214.360000610352
"4",6157659.5,2106041.1405,1,225.710006713867
"5",6157206.5,2106038.1405,3,213.949996948242
"6",6157659.5,2106038.1405,1,225.539993286133
"7",6157209.5,2106035.1405,3,213.910003662109
"8",6157659.5,2106035.1405,1,223.070007324219
"9",6158112.5,2106035.1405,1,150.460006713867
"10",6157209.5,2106032.1405,3,213.910003662109
"11",6157659.5,2106032.1405,1,220.619995117188
"12",6158115.5,2106032.1405,1,150.460006713867
"13",6158379.5,2106032.1405,6,136.630004882812
"14",6157212.5,2106029.1405,3,213.880004882812
"15",6157662.5,2106029.1405,1,220.619995117188
"16",6158118.5,2106029.1405,1,150
"17",6158376.5,2106029.1405,6,136.839996337891
"18",6157212.5,2106026.1405,3,213.880004882812
"19",6157662.5,2106026.1405,1,220.619995117188
"20",6158121.5,2106026.1405,1,150
"21",6158376.5,2106026.1405,6,136.529998779297
"22",6157215.5,2106023.1405,3,213.520004272461
"23",6157662.5,2106023.1405,1,223.179992675781
"24",6158124.5,2106023.1405,1,149.5
"25",6158127.5,2106023.1405,1,149.240005493164
"26",6158373.5,2106023.1405,6,136.660003662109
"27",6157215.5,2106020.1405,3,213.009994506836
"28",6157662.5,2106020.1405,1,223.369995117188
"29",6158130.5,2106020.1405,1,149.050003051758
"30",6158370.5,2106020.1405,6,136.880004882812
"31",6157218.5,2106017.1405,3,212.509994506836
"32",6157665.5,2106017.1405,1,221.899993896484
"33",6158133.5,2106017.1405,1,148.850006103516
"34",6158370.5,2106017.1405,6,136.880004882812
"35",6157221.5,2106014.1405,3,211.729995727539
"36",6157665.5,2106014.1405,1,222.630004882812
"37",6158136.5,2106014.1405,1,148.850006103516
"38",6158367.5,2106014.1405,6,137.110000610352
"39",6157221.5,2106011.1405,3,211.729995727539
"40",6157665.5,2106011.1405,1,222.570007324219
"41",6158139.5,2106011.1405,1,148.850006103516
"42",6158367.5,2106011.1405,6,136.960006713867
"43",6157224.5,2106008.1405,3,210.5
"44",6157665.5,2106008.1405,1,221.889999389648
"45",6158142.5,2106008.1405,1,148.779998779297
"46",6158145.5,2106008.1405,1,148.5
"47",6158364.5,2106008.1405,6,137.070007324219
"48",6160245.5,2106008.1405,1,236.649993896484
"49",6157227.5,2106005.1405,3,210.350006103516
"50",6157668.5,2106005.1405,1,218.929992675781
"51",6158148.5,2106005.1405,1,148.220001220703
"52",6158361.5,2106005.1405,6,137.210006713867
"53",6160242.5,2106005.1405,1,237.199996948242
"54",6160614.5,2106005.1405,1,251.970001220703
"55",6157230.5,2106002.1405,3,210.270004272461
"56",6157668.5,2106002.1405,1,218.669998168945
"57",6158151.5,2106002.1405,1,148.220001220703
"58",6158154.5,2106002.1405,1,148.220001220703
"59",6158361.5,2106002.1405,6,137
"60",6160239.5,2106002.1405,1,239.389999389648
"61",6160614.5,2106002.1405,1,250.880004882812
"62",6157230.5,2105999.1405,3,210.039993286133
"63",6157668.5,2105999.1405,1,217.529998779297
"64",6158157.5,2105999.1405,1,138.410003662109
"65",6158358.5,2105999.1405,6,136.919998168945
"66",6160236.5,2105999.1405,1,239.520004272461
"67",6160614.5,2105999.1405,1,249.990005493164
"68",6160866.5,2105999.1405,2,228.369995117188
"69",6157233.5,2105996.1405,3,213
"70",6157671.5,2105996.1405,1,214.75
"71",6158160.5,2105996.1405,1,137.320007324219
"72",6158163.5,2105996.1405,1,137.160003662109
"73",6158355.5,2105996.1405,6,136.919998168945
"74",6160233.5,2105996.1405,1,238.440002441406
"75",6160611.5,2105996.1405,1,247.75
"76",6160863.5,2105996.1405,2,226.710006713867
"77",6157236.5,2105993.1405,3,212.940002441406
"78",6157671.5,2105993.1405,1,214.009994506836
"79",6158166.5,2105993.1405,1,137.160003662109
"80",6158169.5,2105993.1405,1,137.179992675781
"81",6158355.5,2105993.1405,6,136.970001220703
"82",6160230.5,2105993.1405,1,238.149993896484
"83",6160611.5,2105993.1405,1,247.330001831055
"84",6160860.5,2105993.1405,2,226.440002441406
"85",6157239.5,2105990.1405,3,213.539993286133
"86",6157671.5,2105990.1405,1,211.979995727539
"87",6158172.5,2105990.1405,1,136.080001831055
"88",6158175.5,2105990.1405,1,136.619995117188
"89",6158352.5,2105990.1405,6,137.059997558594
"90",6160227.5,2105990.1405,1,238.139999389648
"91",6160611.5,2105990.1405,1,246.110000610352
"92",6160854.5,2105990.1405,2,226.479995727539
"93",6160857.5,2105990.1405,2,226.479995727539
"94",6157239.5,2105987.1405,3,213.960006713867
"95",6157671.5,2105987.1405,1,210.970001220703
"96",6158178.5,2105987.1405,1,136.779998779297
"97",6158181.5,2105987.1405,1,136.460006713867
"98",6158349.5,2105987.1405,6,137.179992675781
"99",6160227.5,2105987.1405,1,237.919998168945
"100",6160611.5,2105987.1405,1,245.050003051758
"101",6160848.5,2105987.1405,2,225.880004882812
"102",6160851.5,2105987.1405,2,225.880004882812
"103",6161934.5,2105987.1405,1,360.349945068359
"104",6157242.5,2105984.1405,3,214.050003051758
"105",6157674.5,2105984.1405,1,209.259994506836
"106",6158184.5,2105984.1405,1,136.190002441406
"107",6158187.5,2105984.1405,1,136.190002441406
"108",6158346.5,2105984.1405,6,137.190002441406
"109",6160224.5,2105984.1405,1,239.020004272461
"110",6160608.5,2105984.1405,1,242.820007324219
"111",6160845.5,2105984.1405,2,225.089996337891
"112",6161934.5,2105984.1405,1,354.75
"113",6157245.5,2105981.1405,3,215.270004272461
"114",6157674.5,2105981.1405,1,209.259994506836
"115",6158190.5,2105981.1405,1,136.190002441406
"116",6158193.5,2105981.1405,1,136.190002441406
"117",6158196.5,2105981.1405,1,136.649993896484
"118",6158346.5,2105981.1405,6,137.190002441406
"119",6160224.5,2105981.1405,1,239.020004272461
"120",6160608.5,2105981.1405,1,242.820007324219
"121",6160839.5,2105981.1405,2,224.660003662109
"122",6160842.5,2105981.1405,2,224.830001831055
"123",6161937.5,2105981.1405,1,354.75
"124",6157248.5,2105978.1405,3,215.759994506836
"125",6157674.5,2105978.1405,1,209.179992675781
"126",6158199.5,2105978.1405,1,136.539993286133
"127",6158202.5,2105978.1405,1,136.539993286133
"128",6158205.5,2105978.1405,1,136.550003051758
"129",6158343.5,2105978.1405,6,137.190002441406
"130",6160224.5,2105978.1405,1,239.279998779297
"131",6160608.5,2105978.1405,1,242.669998168945
"132",6160833.5,2105978.1405,2,224.190002441406
"133",6160836.5,2105978.1405,2,224.429992675781
"134",6161937.5,2105978.1405,1,354.779998779297
"135",6157248.5,2105975.1405,3,215.669998168945
"136",6157674.5,2105975.1405,1,206.949996948242
"137",6158208.5,2105975.1405,1,136.419998168945
"138",6158211.5,2105975.1405,1,136.539993286133
"139",6158340.5,2105975.1405,6,137.360000610352
"140",6160224.5,2105975.1405,1,235.919998168945
"141",6160608.5,2105975.1405,1,238.830001831055
"142",6160827.5,2105975.1405,2,224.050003051758
"143",6160830.5,2105975.1405,2,224.050003051758
"144",6161937.5,2105975.1405,1,356.179992675781
"145",6157251.5,2105972.1405,3,216.029998779297
"146",6157677.5,2105972.1405,1,204.550003051758
"147",6158214.5,2105972.1405,1,136.300003051758
"148",6158217.5,2105972.1405,1,136.300003051758
"149",6158340.5,2105972.1405,6,137.389999389648
"150",6160221.5,2105972.1405,1,235.919998168945
"151",6160608.5,2105972.1405,1,238.740005493164
"152",6160824.5,2105972.1405,2,224.050003051758
"153",6161940.5,2105972.1405,1,357.450012207031
"154",6157251.5,2105969.1405,3,216.029998779297
"155",6157677.5,2105969.1405,1,204.339996337891
"156",6158220.5,2105969.1405,1,136.470001220703
"157",6158223.5,2105969.1405,1,136.470001220703
"158",6158337.5,2105969.1405,6,137.559997558594
"159",6160221.5,2105969.1405,1,235.919998168945
"160",6160605.5,2105969.1405,1,234.880004882812
"161",6160818.5,2105969.1405,2,223.600006103516
"162",6160821.5,2105969.1405,2,224.039993286133
"163",6161940.5,2105969.1405,1,357.760009765625
"164",6163257.5,2105969.1405,1,554.239990234375
"165",6157254.5,2105966.1405,3,212.889999389648
"166",6157677.5,2105966.1405,1,204.339996337891
"167",6158226.5,2105966.1405,1,136
"168",6158229.5,2105966.1405,1,135.800003051758
"169",6158232.5,2105966.1405,1,135.75
"170",6158334.5,2105966.1405,6,137.509994506836
"171",6160221.5,2105966.1405,1,234.699996948242
"172",6160605.5,2105966.1405,1,233.320007324219
"173",6160812.5,2105966.1405,2,223.570007324219
"174",6160815.5,2105966.1405,2,223.570007324219
"175",6161940.5,2105966.1405,1,358.200012207031
"176",6163260.5,2105966.1405,1,553.700012207031
"177",6157254.5,2105963.1405,3,208.679992675781
"178",6157680.5,2105963.1405,1,201.429992675781
"179",6158235.5,2105963.1405,1,135.630004882812
"180",6158238.5,2105963.1405,1,135.630004882812
"181",6158241.5,2105963.1405,1,135.710006713867
"182",6158334.5,2105963.1405,6,137.509994506836
"183",6160221.5,2105963.1405,1,233.169998168945
"184",6160605.5,2105963.1405,1,233.059997558594
"185",6160809.5,2105963.1405,2,223.440002441406
"186",6161943.5,2105963.1405,1,360.529998779297
"187",6163263.5,2105963.1405,1,552.090026855469
"188",6163785.5,2105963.1405,2,432.109985351562
"189",6157257.5,2105960.1405,3,210.199996948242
"190",6157680.5,2105960.1405,1,199.399993896484
"191",6158244.5,2105960.1405,1,135.839996337891
"192",6158247.5,2105960.1405,1,135.919998168945
"193",6158250.5,2105960.1405,1,136.070007324219
"194",6158331.5,2105960.1405,6,137.559997558594
"195",6160218.5,2105960.1405,1,229.479995727539
"196",6160605.5,2105960.1405,1,231.009994506836
"197",6160803.5,2105960.1405,2,223.300003051758
"198",6160806.5,2105960.1405,2,223
"199",6161943.5,2105960.1405,1,363.230010986328
"200",6163266.5,2105960.1405,1,551.669982910156
"201",6163788.5,2105960.1405,2,433
"202",6157257.5,2105957.1405,3,208.309997558594
"203",6157680.5,2105957.1405,1,198.190002441406
"204",6158253.5,2105957.1405,1,136.369995117188
"205",6158256.5,2105957.1405,1,136.369995117188
"206",6158259.5,2105957.1405,1,136.440002441406
"207",6158331.5,2105957.1405,6,137.600006103516
"208",6160218.5,2105957.1405,1,229.479995727539
"209",6160602.5,2105957.1405,1,230.470001220703
"210",6160800.5,2105957.1405,2,222.5
"211",6161943.5,2105957.1405,1,363.230010986328
"212",6163269.5,2105957.1405,1,547.030029296875
"213",6163788.5,2105957.1405,2,435.279998779297
"214",6157260.5,2105954.1405,3,205.580001831055
"215",6157680.5,2105954.1405,1,197.710006713867
"216",6158262.5,2105954.1405,1,136.440002441406
"217",6158265.5,2105954.1405,1,136.440002441406
"218",6158268.5,2105954.1405,1,136.440002441406
