"","X1","easting","northing","stream_order","elevation"
"1",1,6157200.5,2106047.1405,3,218.949996948242
"2",2,6157203.5,2106044.1405,3,218.220001220703
"3",3,6157203.5,2106041.1405,3,214.360000610352
"4",5,6157206.5,2106038.1405,3,213.949996948242
"5",7,6157209.5,2106035.1405,3,213.910003662109
"6",10,6157209.5,2106032.1405,3,213.910003662109
"7",13,6158379.5,2106032.1405,6,136.630004882812
"8",14,6157212.5,2106029.1405,3,213.880004882812
"9",17,6158376.5,2106029.1405,6,136.839996337891
"10",18,6157212.5,2106026.1405,3,213.880004882812
"11",21,6158376.5,2106026.1405,6,136.529998779297
"12",22,6157215.5,2106023.1405,3,213.520004272461
"13",26,6158373.5,2106023.1405,6,136.660003662109
"14",27,6157215.5,2106020.1405,3,213.009994506836
"15",30,6158370.5,2106020.1405,6,136.880004882812
"16",31,6157218.5,2106017.1405,3,212.509994506836
"17",34,6158370.5,2106017.1405,6,136.880004882812
"18",35,6157221.5,2106014.1405,3,211.729995727539
"19",38,6158367.5,2106014.1405,6,137.110000610352
"20",39,6157221.5,2106011.1405,3,211.729995727539
"21",42,6158367.5,2106011.1405,6,136.960006713867
"22",43,6157224.5,2106008.1405,3,210.5
"23",47,6158364.5,2106008.1405,6,137.070007324219
"24",49,6157227.5,2106005.1405,3,210.350006103516
"25",52,6158361.5,2106005.1405,6,137.210006713867
"26",55,6157230.5,2106002.1405,3,210.270004272461
"27",59,6158361.5,2106002.1405,6,137
"28",62,6157230.5,2105999.1405,3,210.039993286133
"29",65,6158358.5,2105999.1405,6,136.919998168945
"30",69,6157233.5,2105996.1405,3,213
"31",73,6158355.5,2105996.1405,6,136.919998168945
"32",77,6157236.5,2105993.1405,3,212.940002441406
"33",81,6158355.5,2105993.1405,6,136.970001220703
"34",85,6157239.5,2105990.1405,3,213.539993286133
"35",89,6158352.5,2105990.1405,6,137.059997558594
"36",94,6157239.5,2105987.1405,3,213.960006713867
"37",98,6158349.5,2105987.1405,6,137.179992675781
"38",104,6157242.5,2105984.1405,3,214.050003051758
"39",108,6158346.5,2105984.1405,6,137.190002441406
"40",113,6157245.5,2105981.1405,3,215.270004272461
"41",118,6158346.5,2105981.1405,6,137.190002441406
"42",124,6157248.5,2105978.1405,3,215.759994506836
"43",129,6158343.5,2105978.1405,6,137.190002441406
